keys,zh_CN
event.event_297.option_0.text,立刻向意大利媒体透露相关情报，并掀起反北约运动
event.event_297.option_1.text,同苏东集团达成共识，它们一定乐见于此
event.event_297.option_2.text,利用相关情报对意大利国防设施予以痛击
event.event_297.option_3.text,无须打草惊蛇，我们应当利用利用同“鼹鼠”的关系并继续深耕
event.event_297.title,人民的福祉是最高的法律
event.event_298.desc,凭借“鼹鼠们”传来的各种线报与对意大利深层国家的持续调查，我们终于取得了收网良机：意大利政坛由数个议会政党主宰的“板结”状态、作为社会顽疾的黑手党与70年代的经济危机共同为该国腐败势力滋生提供了极佳温床——不论是为实现连选连任，必然追求扩大政治资本的执政集团；还是试图在商界内确立独尊地位，坚决打倒一切竞争对手的业界精英。他们都不约而同地走上了发展内幕交易，依赖政治寻租，形成政商勾结网络的夺权捷径。这一政坛诀窍不仅深受天主教民主党内各大巨头的器重（毕竟，建立在精英主义与资本密集型基础上的党不可能为澄清政治而因噎废食），更在该国的小型议会政党处被运用得炉火纯青：意大利社会党、意大利民主社会党与意大利共和党此类政治集团便是其中的行家。长期无法在政府与议会内位居显赫位置的它们既无法同天民党那般持续积累政治优势，亦无力效法意大利共产党扩充群众组织、仰仗大众资助与人力密集方法建立社会外的霸权。为此，此类政党只能将维系组织、获取经费与扩充政治影响的希望押注于广泛参与政治腐败与权力交换。其主要形式便是得到政党默许的政客以内幕交易、优先认购、出让建设合同等形式接受企业资助，并向前者提供政治便利（这一过程亦包括政客个人在党组门目之外新增关卡，以广泛的索取好处与收受回扣行为中饱私囊）。长期掌握该国基础设施建设要职的意大利民主社会党在这一进程中得以分占丰厚利润，而社会党党魁贝蒂诺·克拉克西更是靠贩卖政治良心的做法迅速致富：他不仅借此住进了首都罗马的豪华酒店，更是手握价值数百亿里拉的秘密账户。其下辖的社会党则在市长卡洛·托尼奥利与地方要员马里奥·基耶萨的精心设计下把商业发达的米兰改造为了专属于本党的印钞机。而这恰成为了突破口：“鼹鼠们”找上了早因基耶萨狮子大开口索贿而对该党表示强烈不满的企业主，并借基耶萨的政治身份自然推出了其同意大利政治地下交易黑线的密切关系。他们笃定只要从米兰发起司法调查，便必定能掀起足以动摇该国政局的大地震。
event.event_298.option_0.text,那就让蝴蝶扇动翅膀罢。
event.event_298.title,回 扣 之 国
event.event_299.desc,第一共和国终结了，人民对于现存体制的信任已然跌落谷底。可古话说得好，有破终有立，且生活仍要继续。自该国的政治丑闻全面爆发以来，意大利的政治版图便发生了令人印象深刻的重组：由于意大利的中间派事实上在反腐调查中灭绝，国内的意识形态力量对比自然走向极化。绝大多数的政治资源不仅向现存的主流议会政党内富集（主要是意大利共产党与意大利社会运动，它们和传统政治力量相比更倾向于选择极端主义立场。出于团结该国主要选民的需要，两党均建立了以自身为核心的联合竞选名单，并确立了在左翼/右翼“联盟”旗帜下建立共识，团结一致，联合治理的基本路线），更促成了民粹主义情绪与新党运动借机迅速崛起。在国家引入比例代表制并放松政治管制的大背景下，所有的一切都为为即将到来的特别大选增添了未知数。考虑到本次大选将为第二共和国的未来定调，我们自然有理由做出干涉，得在参选者中货比三家。确保有助于中方的政治力量登上前台。
event.event_299.option_0.text,我们将支持意大利共产党领导的“左翼”派系为该国带来进步与革新
event.event_299.option_1.text,我们需要关注意大利社会运动领导的“右翼”派系，终结无政府状态。
event.event_299.option_2.text,我们应静观其变
event.event_299.title,“总崩溃”
event.event_300.desc,我们的部队能够在边境冲突中击败敌人，并开始向内陆推进，但我们走得越远，面临的问题就越多。越军成功地利用了不可逾越的地形优势，在已经占领的地区，解放军不得不对付积极破坏我们补给线的游击队。部分军队领导层和党员主张，应立即停止军事行动，并隐瞒事态。另一派则建议联系联合国，与越南谈判让步，以换取我们停止进攻行动和撤军。然而，我们可以继续进攻，我们有巨大的动员潜力，我们在人力和武器上超过越南，如果我们定期向前线增援，我们迟早会粉碎他们的防御。然而，你现在可以用核打击来结束一切，即使这样做的后果将是真正的灾难。
event.event_300.option_0.text,止步于目前进度。
event.event_300.option_1.disabled,我们绝不与资本主义者和修正主义者妥协！
event.event_300.option_1.text,我们正通过联合国解决事态。。
event.event_300.option_2.text,我们继续战争。
event.event_300.option_3.disabled,哪怕是为了对抗修正主义者，我们也不会先发动核打击
event.event_300.option_3.text,愿毛泽东的核太阳升起！
event.event_300.title,越南战争
event.event_301.desc,在与越南的战争中，解放军展示了自己远不是最好的一面。不幸的是，我们不能再否认事实了，因此，军队现代化已刻不容缓。当然，我们可以自力更生，但有些党员建议我们寻求旧敌的帮助......
event.event_301.option_0.text,军队没有问题。要为战败负责的是党内的叛徒，我们得处理他们！
event.event_301.option_1.text,确实，我们需要重整武备。下令紧急启动军队现代化和新型武器的研制。
event.event_301.option_2.text,让我们转而向美国寻求帮助。
event.event_301.title,军队问题？
event.event_302.desc,对越战争根本称不上成功。但也不能蠢到单单责怪军队。战争乃至于战败是个别党员的过错，需要加以处理。谁能做替罪羊呢？指责极左派以脱离现实的心态发动战争，妄想掀起革命狂潮？或是指责自由派，称其与帝国主义勾结，破坏了前线的可行计划？抑或，最好别再挑起党内战争，而是停留在抽象层面，对破坏者进行大方向上的谴责，并让两派中最可恶的次要人物辞职了事？
event.event_302.option_0.text,各打五十大板。
event.event_302.option_1.text,责备偏激的左翼。
event.event_302.option_2.text,怪罪自由派。
event.event_302.title,解决党的问题
event.event_303.desc,我们的核打击并非毫无后果。就在第二天，联合国安理会便召开了紧急会议，决定了我们的命运，据情报机构报告称，苏美两国的核导弹已经瞄准了我们，两国军队也收到了对中华人民共和国发动军事行动的计划。当然，谁都打不垮我们的革命精神，我们要反抗全世界，因为我们能把他们变成一滩放射性灰烬。但是，悄悄把那些把世界推到毁灭边缘的疯子赶下台，向全人类作出让步是个值当的打算么？
event.event_303.option_0.text,和平解决方案已无可能！
event.event_303.option_1.text,逮捕激进派。
event.event_303.title,核战
event.event_304.desc,在毛去世后，国家的领导职务由他有前提的“继承人”华国锋担任。起初，这位温和的政治家似乎是一个适合所有派系的好选择，但可惜的是，他最终成为了一个不成功且无能的领导人。国家发展速度放缓，党的团结更是梦里都没有。国锋既不合极左派的口味，也不适合改革派。党员中已经有传言说，毛的继承人正在开始建立自己的威权模式。但真有那么糟糕么？也许清理一群激进分子，而不是除掉一个强大的领导人更好一些？
event.event_304.option_0.text,国锋能满足我们。
event.event_304.option_1.text,一方面指责他修正主义，另一方面指责他拥护毛派极权主义，然后命他卸任。
event.event_304.title,华国锋的崛起
event.event_305.desc,近年来，邓小平在党内的呼声越来越高。他和他的支持者正为自己获得了越来越多的政府职位。如果他的观点不是很可疑的话，我们也可以对此视而不见。是的，他的想法仍然很温和，但在与志同道合的人交谈时，他已在讨论国家的完全自由化。一些有关他与西方情报机构合作的信息也正在收到。值得组织一个阴谋来对抗崛起的密谋自由主义分子吗？
event.event_305.option_0.text,让小平留任。
event.event_305.option_1.text,打倒修正主义者！
event.event_305.title,小平的辞呈？
event.event_306.desc,显然，在我们国家并不是一切都是完美的，许多人对党的政策不满意。当然，人民受到修正主义者和外国代理人的煽动，但也许这是我们改变权力结构的机会？与此同时，镇压抗议活动将导致人们的信任和国际声誉下降。
event.event_306.option_0.text,驱散民众
event.event_306.option_1.text,我们显然可以通过开除胡耀邦去安抚党和人民。
event.event_306.option_2.text,利用抗议，组织党内政变。
event.event_306.title,对党的领导路线的抗议
event.event_307.desc,文革失败后，许多红卫兵被送进监狱以稳定局势。但那么多年过去了，放了他们也没什么了，毕竟我们已牢牢掌握了权力，以前的激进分子中也有有用的专家，人民对镇压红卫兵的态度也不是很好，释放他们会让我们更受支持。但先得记住，让他们回归原位会让这个国家大大回到激进的过去。
event.event_307.option_0.text,让他们继续在监狱里服刑。
event.event_307.option_1.text,放了他们。
event.event_307.option_2.text,放了他们，让他们回到党内和岗位上。
event.event_307.title,定罪红卫兵
event.event_308.desc,文革失败后，红卫兵被遣散，其中一些人锒铛入狱。几年来，极左派在现代中国已无立足之地，如今，他们在香港成立了犯罪集团，其在东南亚和北美国家的影响力也愈发强大。我们可以与他们建立合作关系，以更好地影响外国政策。当然，天上不会掉馅饼，黑手党也会想干涉我党事务。
event.event_308.option_0.text,没这个必要。
event.event_308.option_1.text,开始与麻匪洽谈。
event.event_308.title,大圈
event.event_309.desc,一些党员开始密谋反对陈云。当然，这是一位从革命斗争年代就为我党呕心沥血的老党员，但是在我们胜利以后，他反复强调要在经济中实行市场机制。他也是要为所谓“大跃进”负责的人之一，这场运动不能说是完全成功，也许陈云的过错便在于它的失败......
event.event_309.option_0.text,放他一马
event.event_309.option_1.text,看来我们找到罪魁祸首了
event.event_309.title,陈云的命运
event.event_310.desc,在下一次党的会议上，关于彭真的问题浮出水面：他曾是毛的支持者，在大跃进失败后便背弃了他，转而批评毛主义，因此他被打为走资派并被下放。一些人仍然视他为自由派修正主义者和中国的敌人。但他并没有犯什么弥天大罪，哪怕他正和可疑的人合作，也许还是应该让这个老党员自个待着，反正他也活不了多久了......
event.event_310.option_0.text,平反彭真
event.event_310.option_1.text,一劳永逸地将其处理掉
event.event_310.title,彭真的命运
event.event_311.desc,关于王震将军的不利材料已落入你手中。这些指控相当严重，从性犯罪到与有组织犯罪都有涉及。这将是将反对社会和政治自由化的自由派改革支持者从党内清除出去的绝佳机会。但是，我们真的要触及毛泽东同志的老同事么？
event.event_311.option_0.text,按表不发
event.event_311.option_1.text,提出诉讼
event.event_311.title,王震的命运
event.event_312.desc,党内一些人已经发现了经济失败的另一个罪魁祸首——李先念。虽然罪名很轻，但罪行严重到足以让他辞职。而且，那些糊涂事总是可以用阴谋来解释......
event.event_312.option_0.text,宣布指控为凭空捏造
event.event_312.option_1.text,加大迫害力度。
event.event_312.title,李先念的命运
event.event_313.desc,同志，地方当局发出的信息如雪花般飞来，教育质量和识字率愈发下降。在很大程度上，这要归咎于教育系统的混乱，这种混乱自所谓的“文化大革命”以来就一直存在着。这个问题相当严重，从长远来看会对我们的发展产生负面影响。我们的专家提供了几种解决方案：1.全面推行教育改革，部分去意识形态化，这将对教育质量产生积极的影响，但可能会产生与党的总路线不同的意见。2.为学校和大学的重建注入大量资金，提高教师的工资。3.或者，如果我们没有足够的资金或政治意愿进行改革，我们尊敬的领导人可以就教育的重要性发表鼓舞人心的演讲，但这不会对局势产生任何影响。
event.event_313.option_0.text,为教育的重要性做一次演讲
event.event_313.option_1.text,为此拨付更多预算
event.event_313.option_2.text,进行大规模的教育改革
event.event_313.title,教育质量的下降
event.event_314.desc,1983年9月1日，一架韩国波音747-230B客机在苏联边境附近的太平洋上空被击落。据报道，有269人死亡，这是历史上最大的灾难之一。西方媒体已将这一事件称为“不应被遗忘的反人类罪行”，美韩两国也开始自发地抗议苏联的行为。但我们从苏联得到的情报报告说，事实真相可能并非如此——飞机侵犯了苏联边界，在神秘物体附近飞行，没有回应调度员和飞行员的要求。在事件发生前，由于美国飞机自1982年以来多次侵犯苏联领空，该地区的紧张局势有所加剧。在这种情况下，我们该怎么做？我们可以加入国际谴责的行列，以此改善与西方世界的关系，但对苏关系就被搞砸了。还是采取务实的行动，对情况不予置评？我们也可以在这种情况下支持苏联，并宣布侵犯国家边界的行为是不可接受的。
event.event_314.option_0.text,对事件情况不予置评
event.event_314.option_1.text,谴责苏联
event.event_314.option_2.text,支持苏联
event.event_314.title,被击落的韩国波音
event.event_315.desc,二战后，日本表现出惊人的经济增长，每年约10%，成为世界上第二大名义经济强国，超过法国、意大利、加拿大、英国、苏联，仅次于美国。在西方，他们甚至称其为“日本经济奇迹”。但许多自由派坚持认为，这样的成功是由大企业和国家结合这种非市场方式造成的。左派指责日本领导层压低工作条件，让工人过度劳累，并在日本创造了一种法团文化。但是我们可以考虑他们在我们国家的经历，再考虑到我们的具体情况......
event.event_315.option_0.text,不，我国绝不借鉴资产阶级经济学家的经验！
event.event_315.option_1.text,好，在经历了过去几十年的某些问题之后，我们的经济需要新的生产发展方法。
event.event_315.title,以日为师
event.event_316.desc,在我国接受日本模式后，一些党员提出了与日本达成政治和解并进一步推进贸易一体化的想法，这将增强我们在亚洲的影响力。当然，日本现在是美国的傀儡，但这有那么重要吗？毕竟，他们是亚洲人，不是西方帝国主义者......
event.event_316.option_0.text,和解不可接受。
event.event_316.option_1.text,设立大使馆。
event.event_316.title,与日本和解？
event.event_317.desc,距日本在我国领土上犯下桩桩罪行已过去40多年了。当然，这些罪行都称得上是人间悲剧，但我们赢了，战犯们在审判中被判有罪，日本政府已与从前大不相同了。为了两国之间的稳定和友好关系，是时候原谅他们过去所有的罪行了。但这一决定在党和人民内非常不受欢迎。
event.event_317.option_0.text,罪行刻骨铭心！
event.event_317.option_1.text,我们的友谊与共同繁荣要比过去更加重要。
event.event_317.title,忘却过去？
event.event_318.desc,近些年来，中日两国关系十分密切，我们的情报部门在旭日之国的影响力越来越大。我党甚至可以影响日本国内政治......还可以让与我们更为亲密的人上台。一方面，日本共产党与我们的关系更为密切，但该党内部可谓矛盾重重，一边是前激进分子、现积极信奉改革思想和奉行机会主义的宫本显治领导的右倾分子，另一边是由我们的老朋友、抗日战争期间的解放军战士野坂参三领导的亲中反君主制的温和左翼势力。另一方面，我们还能选与军队关系密切的日本民族主义者，当然，他们是法西斯分子。但换个角度，他们对美国持强烈的负面态度，会同意与我们合作。
event.event_318.option_0.text,我们没有足够的预算
event.event_318.option_1.text,让日共上台
event.event_318.option_2.text,让军国主义者上台
event.event_318.title,我们的势力会在日本掌权吗？
event.event_319.desc,我国农业虽然独立自主了几十年，但机械化程度仍然极低，这对我国的发展产生了消极影响——农业领域需要大量的农村工人，但这些工人本可以参加工业领域的生产。一方面，我们可以自力更生，但这需要工业与工程师充分发挥其能力。但是，或许在苏联或其他国家购买外国器械来得更加值当？
event.event_319.option_0.text,我们还有别的要紧事得处理。
event.event_319.option_1.text,开始自力更生。
event.event_319.option_2.text,从苏联购买设备。
event.event_319.option_3.text,从西方购买设备。
event.event_319.title,农业机械化
event.event_320.desc,主席同志，如你所知，在我国，饥荒一直是一个不小的麻烦。其中既有错误指导和瞎指挥造成的惨案，也有纯粹的自然原因造成的问题。自然方面的主要问题在于水土流失和资源不平等。针对这个问题，农林部的同志们建议我们开展一项名为“三北防护林”的计划，本计划旨在我国东北，华北和西北地区修建一条巨大的绿色防护林带，旨在维护水土环境的前提下适当改善当地的环境。同时，水利部门也希望我们能把更多的重心转在水的问题上，我国水利资源可以说是南多北少，而且有一条大河：雅鲁藏布江的水源常常被浪费。水利部的同志给出了一个雄心勃勃的计划，在东-中-西三线修建运河，把南部丰富的水资源顺着运河与水泵调往北方，不仅可以借用沿途的河道，还能做到把重力势能运用在发电机上，一举多得的好计划。不过上述方案最大的弊端还是极端的费钱，而且极度费时，毕竟这几项雄心勃勃的计划可是可以和斯大林时期的自然改造计划相提并论的。
event.event_320.option_0.text,取消计划
event.event_320.option_1.text,开展三北防护林计划
event.event_320.option_2.text,开展南水北调工程
event.event_320.option_3.text,我们为什么不能逼一逼自己呢？
event.event_320.option_4.text,设定一个长期目标
event.event_320.title,大型工程
event.event_321.desc,我国农村的发展需要现代化肥。传统化肥的使用已经造成了一些问题......因此，我们迫切需要一些现代化肥。我们可以试着发展我们自己的化肥产业，同时提高我们的化工工业水平，但是购买国外的化肥不是来得更容易吗？这对我们的贸易关系也有积极的影响。
event.event_321.option_0.text,我们还有别的要紧事得处理。
event.event_321.option_1.text,开始自力更生。
event.event_321.option_2.text,向外国求购。
event.event_321.title,农村需要化肥
event.event_322.desc,近年来，我国人民拥有的汽车数量一直稳步攀升。当然，这是好事，因为这标志着我国人民生活水平的提高。但另一方面，我国城市塞不塞得下那么多车还是个问题。对许多省份来说，它们只有土路和铁路，而发达地区的高速公路也常常出现交通堵塞。根据工程师们传达的信息，我们迫切需要发展道路基础设施——修建新的公路和扩建旧的公路。但是我们有足够的资源来实现这一目标吗？
event.event_322.option_0.text,我们还有别的要紧事得处理。
event.event_322.option_1.text,开始建设
event.event_322.option_2.text,我们能借鉴一番德国高速公路的经验吗？
event.event_322.title,道路发展
event.event_323.desc,在党员队伍之中，合法化私立教育的想法已开始浮现。一群党员提出将私立教育机构合法化的倡议，认为这将减轻国家的部分负担，提高教育质量并能引入新的教育方法。但另一方面，这将会削弱对国家教育的意识形态控制，因教育成本增高而加剧人口分层，并可能使党和底层造成差异。如果我们确实决定将教育私有化，那么就值得决定具体如何进行。一些人提议部分私有化，只允许政府颁发国家认证的机构开展工作，而另一些人则坚持认为，不应该由国家来实施不完全的改革，并呼吁放开私立教育管控。但哪怕在党内水火不容的保守派和极左派都在此时站在一起表示出坚决反对，并要求将那些提出“如此卑鄙的改革”的人开除出党。
event.event_323.option_0.text,教育不可私有！
event.event_323.option_1.text,部分允许，但得处于国家控制之下。
event.event_323.option_2.text,全面私有化教育领域。
event.event_323.title,私立教育
event.event_324.desc,香港地铁系统于今日开通。在我国，目前只有一条地铁线路运行，在中苏分裂前，我国就开始和苏联专家一起建造该线路，之后在法国专家的帮助下落成，运行状态也令人满意。在这种情况下，我们应当在其他城市建设地铁吗？这一壮举将提高国家的声望，并大大改善城市通勤情况，但与此同时，它将需要大量的投资，没有外国专家，我们将无法建设现代地铁系统。
event.event_324.option_0.text,我们还有别的要紧事得处理
event.event_324.option_1.text,让我们自个开建吧。
event.event_324.option_2.text,找找苏联专家。
event.event_324.title,中国的地铁？
event.event_325.desc,我们的管理层被要求用高铁线路连接大城市。这将大大改善我国部分地区之间的沟通交流便利度，但同样需要大量资源......我们用得着么？
event.event_325.option_0.text,我们还有别的事。
event.event_325.option_1.text,我们将在北京和上海之间修建一条高铁线路。
event.event_325.option_2.text,开始一个连接所有主要城市的高铁项目。
event.event_325.title,高铁？
event.event_326.option_0.text,极左计划。
event.event_326.option_1.text,温和派和保守派的计划。
event.event_326.option_2.text,温和派和改革派的计划。
event.event_326.option_3.text,自由派的计划。
event.event_326.option_4.text,维持现行宪法。
event.event_326.title,1978年宪法
event.event_327.desc,在1978年的旧宪法中，带有革命浪漫色彩与“革命委员会”风格的名词比比皆是。但是我们的革命已经结束了，我们想要韬光养晦，而在此过程中，革命的悲情和浪漫就显得不太合适了。也许去掉这些名词，用更枯燥些的文字取而代之是值当的？很明显，保留这些名词将表明极左派在政治舞台上仍占据一席之地。如果这些名词被除掉了，党和人民就会明白我们站在改革派一边。
event.event_327.option_0.text,就这样吧。
event.event_327.option_1.text,将其移除。
event.event_327.title,修宪？
event.event_328.desc,过去，在1978年，我党之内发生了严重的分裂，派系之间根本没有团结可言。现在的情况稍微好转了一些，也许我们应当在此时制定宪法，让它更具妥协色彩？附有条件的左派计划根据毛的训诫，进一步建设社会主义，并考虑到已经发生的一些变化。而按照惯例，右边是改革派的道路，苏联曾以此批判毛本人。
event.event_328.option_0.text,同意左派计划。
event.event_328.option_1.text,同意右派计划。
event.event_328.option_2.text,我们不需改变。
event.event_328.title,新宪法
event.event_329.desc,在下一次党的代表大会上，所有权形式的问题出现了。国家的局势已稳定下来，我们可以开始在这方面着手推行改革。但一方面，为什么我们要改变行之有效的东西？此外，这还会大大破坏国家的稳定。不过我们可以推进国有化，这意味着左派的壮大，国家也将掌握更多的资源，反之亦然——私有化，但这将大大动摇人民对我们的支持......
event.event_329.option_0.text,无需改变。
event.event_329.option_1.text,推进国有化和巩固国有制是最重要的。
event.event_329.option_2.text,推进私有化。
event.event_329.title,所有权形式问题
event.event_330.desc,今天，我国代表团将会见葡萄牙代表团。这次会议非常重要，因此我们需要明确我们在谈判中的立场。我们可以采取中立立场，通过签署平平无奇的文件冷静地讨论些小问题。但或许我们应当步子迈大些，达成大规模贸易协定？与此同时，有些人主张澳门问题也应坚定地摆在台上说......
event.event_330.option_0.text,没必要提及重要话题。
event.event_330.option_1.text,我们将达成贸易协定。
event.event_330.option_2.text,让我们着手解决澳门问题。
event.event_330.title,对葡谈判
event.event_331.desc,在中央委员会定期全体会议上，规范城市企业活动的问题被提了出来。据称，由于国家的不断干预，这些企业“束手束脚”，无法正常运作。但也许恰恰相反，他们效率低下的原因是他们太过自由了？群众也这么觉得，与之相对，他们要求最终将小资产阶级处理掉，因为小资产阶级拒绝充分履行自己的义务，但同时又常常侵犯雇工的权利。
event.event_331.option_0.text,什么都不做。
event.event_331.option_1.text,加强监管。
event.event_331.option_2.text,在未来不加干涉。
event.event_331.title,“束手束脚”
event.event_332.desc,党已被问及，是否允许企业超越其经营范围？特别是，一些军工企业可能会开始生产民用设备。一方面，这将为一切经营不顺的经济部门提供商品供给，但另一方面，这可能会让那些本已经营着不甚成功的经济部门的人陷于恶性竞争中去......
event.event_332.option_0.text,保持原样。
event.event_332.option_1.text,允许。
event.event_332.title,企业扩张
event.event_333.desc,不久前，我们便允许外国企业在我国活动，现在一些党员要改变他们的经营条件。我们要怎么做？是为了国家和人民的利益，大幅提高对外企尊重工人权利的要求，并令其为国家工作，还是为了外交政策的成功而与国际资本达成合作，完全对其免税？
event.event_333.option_0.text,对其征税便可。
event.event_333.option_1.text,收紧要求。
event.event_333.option_2.text,对其免税。
event.event_333.title,外国企业
event.event_334.desc,我国工业蒸蒸日上，一些我国自创的工业设计也出现了。无论如何......如果我们进入国际专利制度，我们就能从别人在其他国家应用我国的发明这一事实中获利。另一方面，我们自己也得破点费，因为我们生产了大量的仿制设备......
event.event_334.option_0.text,不签署。
event.event_334.option_1.text,进入专利体系。
event.event_334.title,专利法
event.event_335.desc,农民群体中开始出现分化，或者说白了，就是阶层分化。目前，约20%的农场归富有的公民所有。由于这些农场大多与农业领域的特别部门有关，党决定将这些农场称为“专业化农场”。党需要决定如何处理这个问题，或是是否有必要处理这一问题？
event.event_335.option_0.text,就这样吧，反正他们也剥削不了别人。
event.event_335.option_1.text,为他们减税，给他们雇佣工人和向国外销售产品的机会。
event.event_335.option_2.text,进行检查，增加税收。
event.event_335.title,“专业化农场”
event.event_336.desc,我们国家非常需要先进的科学家、专家和工程师。但几十年的孤立对我们有害无利，我们已收到了令人震惊的报告，表明我们的科学严重落后于世界。当然，问题就摆在那，但我们至少应当做些什么来缩小差距。
event.event_336.option_0.text,签订定期合作研究协议，并在中国出版外国科学期刊。
event.event_336.option_1.text,制定派遣学生到国外大学学习的计划。
event.event_336.option_2.text,邀请外籍教师、科学家、工程师加入我们的行列。
event.event_336.title,教育问题
event.event_337.desc,在文化大革命后，还有许多前资本家活了下来。党需要决定如何对待这类公民。一方面，人们认为他们十分危险，要求对其加以控制，但另一方面，毕竟今时不同往日，我们也能冷静下来了，而且，这种措施并不完全人道......
event.event_337.option_0.text,让他们接着被监视。
event.event_337.option_1.text,冷静一下，放他们条生路。
event.event_337.title,前资本家
event.event_338.desc,今天，国民党最具革命色彩的派系派来了一个代表团，并对我党讲话。他们建议在中国共产党和他们派系间建立关系，并与所谓的中华民国缓和关系。我们能让他们成为分裂势力岛屿上的“敌后武工队”么？我们能公然拒绝支持左翼激进分子么？甚至能为了走向真正的民主而允许他们进入大陆发展么？
event.event_338.option_0.text,吸纳。
event.event_338.option_1.text,谴责。
event.event_338.option_2.text,将他们的派系合法化。
event.event_338.title,国民党左翼
event.event_339.desc,由于几十年来的殖民、战乱、内战和贫困，许多中国人逃往了其他国家。我们不单单是在讨论狭义上的中国地区，如中华民国、香港和澳门。党收到一项建议，要求组织他们重新安置回国。但这有必要吗？
event.event_339.option_0.text,什么都不做。
event.event_339.option_1.text,呼吁他们回国。
event.event_339.option_2.text,组织归乡计划。
event.event_339.title,海外同胞
event.event_340.desc,党被要求增加人民大会和其他区域机构的地方自治权力。一方面，这能让党少负一些问题的责任，也能赢得渴望变革的人民们的拥护，但另一方面，这对那些治理的没那么好的地区是个问题......
event.event_340.option_0.text,增加自治权。
event.event_340.option_1.text,保持原样。
event.event_340.title,地方自治
event.event_341.desc,在中国发生变化后，我们的立法机关也应该改变一些规定。特别是关于公民身份的法律，放到从前这也不算太管用。但我们要依照什么权利赋予公民权呢？
event.event_341.option_0.text,权自血统出。
event.event_341.option_1.text,权自生地出。
event.event_341.option_2.text,结合二者。
event.event_341.title,公民权问题
event.event_342.desc,在我国在联合国获得其应有的地位后，有人提议我国加入人权委员会。当然，人权是很重要，是我们珍视保护之物，但这些国际机构里面大多是亲西方的吹牛皮代表......我们可以简简单单地加入他们，走与西方和解的道路，或者我们可以带有挑衅意味地拒绝该提议，以此博得众多帝国主义暴政受害者的支持！
event.event_342.option_0.text,用矫饰的言辞拒绝。
event.event_342.option_1.text,加入。
event.event_342.title,人权委员会
event.event_343.title,德国——民主德国的故事
event.event_344.desc,有人提议改变解放军的服役期限。但如今的问题是应征士兵应当服役多长时间。一方面，就训练一个士兵而言，服役一年并不算多，而且还不够，但另一方面，哪怕是两到三年的服役期限也已经对经济造成了沉重的打击，减缓了我们的发展速度。那么，我们是否可以完全取消征兵制度呢？
event.event_344.option_0.text,职业军队便可。
event.event_344.option_1.text,一年兵役制。
event.event_344.option_2.text,三年兵役制。
event.event_344.option_3.text,社会军事化。
event.event_344.title,兵役制度
event.event_345.option_0.text,我就是看不惯那两块牌牌，讨嫌！
event.event_345.option_1.text,好吗，我觉得就该恢复军衔了！
event.event_345.title,肩上的那块牌子
event.event_346.desc,一些具有民主思想的党员提议，我们应允许与军队有关联的非直接军事人员当选为军委会成员。一方面，这能解决许多普通士兵没有意识到的问题——军人家眷问题、军工联合体问题、后勤问题。但另一方面，这也会让军队大为不满。我们需要这样的改革吗？
event.event_346.option_0.text,不，这是留给士兵委员会的。
event.event_346.option_1.text,好，选贤任能嘛。
event.event_346.title,在军委会中任职的平民
event.event_347.desc,一些具有民主思想的党员提议，我们应允许与军队有关联的非直接军事人员当选为军委会成员。一方面，这能解决许多普通士兵没有意识到的问题——军人家眷问题、军工联合体问题、后勤问题。但另一方面，这也会让军队大为不满。我们需要这样的改革吗？
event.event_347.option_0.text,不，这是留给士兵委员会的。
event.event_347.option_1.text,好，选贤任能嘛。
event.event_347.title,在军委会中任职的平民
event.event_348.desc,在过去10年里，北京附近建起了一个巨大的防空洞系统，在与美国或苏联发生核战争的情况下，此处可以为数十万人提供避难所。近年来，国际局势逐渐改善，因此人们便开始怀疑起这一防空洞系统的必要性。我们是否应当把它们转交给民政当局？
event.event_348.option_0.text,我们需要扩建北京的防空洞，并在其他城市建设类似的设施。
event.event_348.option_1.text,把防空洞留给军队，但停止无意义的建设。
event.event_348.option_2.text,最好将其转为民用。
event.event_348.title,地下城市
event.event_349.desc,在过去10年里，北京附近建起了一个巨大的防空洞系统，在与美国或苏联发生核战争的情况下，此处可以为数十万人提供避难所。近年来，国际局势逐渐改善，因此人们便开始怀疑起这一防空洞系统的必要性。我们是否应当把它们转交给民政当局？
event.event_349.option_0.text,我们需要扩建北京的防空洞，并在其他城市建设类似的设施。
event.event_349.option_1.text,把防空洞留给军队，但停止无意义的建设。
event.event_349.option_2.text,最好将其转为民用。
event.event_349.title,地下城市
event.event_350.desc,不久前，一名苏联叛逃者成功地劫持了一架最新的米格-25截击机，将其运到了日本。考虑到我们的工程师正在开发我国的歼-8截击机，对苏联飞机进行研究将对我们大有裨益。我们在苏联境内的特工可以说服那些对体制不满的人飞往中国境内。但这将恶化与苏联的关系，这架飞机值得我们的特工公开行动么？
event.event_350.option_0.text,组织一次劫机。
event.event_350.option_1.text,对苏关系更重要。
event.event_350.title,劫持米格-25
event.event_351.desc,苏联将最新的多用途战斗机米格-29投入了使用。我们离研究出这一技术还遥不可及。因此，这飞机对我们很有用......但怎么办呢？你可以购买生产许可证，但中苏关系并没有好到苏联能卖给我们最新武器的程度。因此，也许你应该找找情报部门？
event.event_351.title,机群革新
